Keywords,Utterance,Response
"hello, hi, greet","hello, hi, hey, greetings","Hello! 🌾 I am your ShambaIQ AI Farm Assistant. How can I help you with your crops, livestock, or farm management today?"
"yellow, leaves, tomato","why are my tomato leaves turning yellow, yellow spots on leaves","Yellow leaves can be caused by nitrogen deficiency, overwatering, or early blight fungus. Check your soil moisture and consider applying a balanced fertilizer or fungicide."
"maize, fall armyworm, worm","how to control fall armyworm, worms eating my maize","Handpick caterpillars if infestation is small. For severe attacks, apply recommended systemic insecticides early in the morning or late evening when caterpillars are active."
"soil, test, fertilize","how to do a soil test, how to improve my soil fertility","Collect soil samples from different parts of your farm at a depth of 6-8 inches and take them to a local lab. This helps you know exactly which nutrients are missing."
"irrigation, water, crop","how often should i water my crops, best time to irrigate","Water deeply early in the morning or late in the evening to reduce evaporation loss. The frequency depends on your crop type and soil moisture retention."
"blight, potato, fungus","my potatoes have dark spots, how to treat late blight","Late blight spreads fast in cool, wet weather. Destroy infected plants immediately and apply copper-based fungicides to protect healthy crops."
"beans, pests, aphids","black insects on my beans, how to kill bean aphids","Aphids suck sap and stunt growth. You can spray them with soapy water for a mild infestation or use an organic neem oil spray to control them naturally."
"manure, compost, fertilizer","how to make organic compost, best manure for farming","Layer dry leaves, green farm waste, and animal manure in a pit. Keep it moist and turn it every 2 weeks. It will decompose into rich organic fertilizer within 3 months."
"chicken, disease, poultry","my chickens are coughing and sneezing, poultry disease signs","Respiratory signs can indicate Newcastle disease or Infectious Coryza. Isolate sick birds immediately, keep the coop well-ventilated, and consult a local vet for vaccination options."
"planting, spacing, maize","what is the correct spacing for planting maize","For optimal yields, space your rows 75 cm apart, and leave 25 cm between individual seeds within the row."
"cabbage, worms, pests","holes in my cabbage leaves, diamondback moth control","Holes are usually caused by cabbage looper worms or diamondback moth larvae. Spray organic Bacillus thuringiensis (Bt) or use neem extracts early in the cycle."
"cow, milk, yield","how to increase milk production in dairy cows","Ensure cows have access to clean water 24/7, feed them high-quality silage or dairy meal blocks, and maintain a calm, stress-free milking routine."
"onion, rot, fungus","my onions are rotting from the roots, downy mildew onion","This is often white rot or downy mildew caused by poor soil drainage. Avoid planting onions in the same plot next season and ensure rows are well-drained."
"banana, wilt, disease","banana leaves turning yellow and dying, xanthomonas wilt","This looks like Banana Xanthomonas Wilt (BXW) or Panama disease. Sterilize farm tools after working on each plant and cut down infected stems to halt the spread."
"erosion, soil, rain","how to stop soil erosion on a hill, sloping farm tips","Plant deep-rooted cover crops, construct terraces, and plant grass strips like vetiver or Napier grass along the contour lines to hold the soil."
"weed, control, organic","best way to kill weeds without chemicals","Practice mulching with straw or plastic sheets to block sunlight, use shallow shallow hand-hoeing, or plant cover crops like sweet potatoes to choke out weeds."
"goats, diarrhea, worms","my goat has running stomach, treating goat diarrhea","Diarrhea can be caused by internal worms or sudden feed changes. Deworm your goats regularly every 3 months and isolate them to prevent bacterial transmission."
"tomato, wilt, bacterial","tomato plant drying up suddenly, bacterial wilt symptoms","Bacterial wilt causes sudden drying while the leaves are still green. There is no chemical cure. Remove the plant and avoid planting nightshades (potatoes, peppers) there for 3 years."
"citrus, pests, scale","sticky white spots on lemon tree leaves, citrus scale","This is caused by scale insects or mealybugs that excrete honeydew. Spray the tree with a mix of water and horticultural oil or liquid dish soap."
"mulch, moisture, benefit","why should i mulch my farm beds","Mulching retains soil moisture, suppresses weed growth, regulates soil temperature, and adds organic nutrients back into the dirt as it decomposes."
"pig, feeding, livestock","what is the best feed formula for pigs","Pigs need a balance of energy, protein, vitamins, and minerals. Mix maize bran, soybean meal, fish meal, and vitamin premixes. Always provide unlimited clean drinking water."
"coffee, rust, berries","orange spots under coffee leaves, coffee leaf rust","This is coffee leaf rust fungus. Prune branches to improve airflow and sunlight penetration, and spray copper-based fungicides before the rainy season starts."
"rabbit, breeding, farming","how to start a rabbit farming business, rabbit cage size","Rabbits need clean wire-mesh cages off the ground to prevent disease. Keep breeding does separate, feed them hay and pellets, and ensure cages stay completely dry."
"avocado, rot, root","avocado tree leaves dropping and dying, root rot disease","Avocado root rot thrives in waterlogged soil. Avoid overwatering, ensure excellent drainage, and use certified disease-free seedlings for new plantings."
"spinach, spots, pests","brown circles on my spinach leaves, cercospora leaf spot","This is Cercospora leaf spot fungus. Avoid overhead watering to keep leaves dry, space your plants widely for airflow, and remove affected leaves."
"sheep, rot, hoof","my sheep is limping, how to treat foot rot","Foot rot is a bacterial infection from muddy ground. Trim hoops regularly, keep animal pens dry, and use a copper sulfate foot bath to disinfect their hooves."
"seed, storage, dry","how to store seeds for next planting season","Dry seeds thoroughly in the sun until they click when bitten. Store them in airtight glass jars or tins in a cool, dark, dry place away from pests."
"pepper, rot, blossom","bottom of my bell peppers turning black, blossom end rot","Blossom-end rot is caused by calcium deficiency, often triggered by uneven watering. Maintain consistent watering habits and add agricultural lime to the soil."
"bee, hive, honey","how to attract bees to a new beehive","Smear melted beeswax or a few drops of lemongrass oil inside the hive entrance. Ensure the hive is hung in a quiet, shaded area close to flowering plants."
"sukuma, pests, aphids","green flies under my kales, sukuma wiki pest treatment","Those are aphids. You can spray them with an eco-friendly mixture of water, neem oil, and a few drops of mild liquid soap to control them safely."
"drought, crops, resistant","best crops to plant during dry seasons, drought resistant","Plant hardy, drought-tolerant crops like sorghum, millet, cassava, green grams (beans), or sweet potatoes that require very little rainfall to mature."
"damping, seedlings, nursery","seedlings falling over and dying in nursery, damping off","Damping-off fungus attacks seedlings in cold, overcrowded, overwatered soil. Use clean potting soil, don't overwater, and thin out seedlings to allow airflow."
"ticks, cattle, spray","how to get rid of ticks on cows, cattle dip frequency","Ticks spread East Coast Fever. Spray or dip your cattle once a week using recommended acaricides, and keep bushes cleared around pastures."
"mango, fly, fruit","worms inside my mangoes, how to stop fruit flies","Fruit flies lay eggs inside developing fruit. Hang pheromone fruit-fly traps in the trees and collect and bury any dropped, rotting mangoes at least 2 feet deep."
"fertilizer, npk, meaning","what does NPK stand for on fertilizer bags","N is Nitrogen (for leaf growth), P is Phosphorus (for root development), and K is Potassium (for fruit strength and disease resistance)."
"fodder, grass, napier","how to plant napier grass for dairy cows","Cut Napier grass stems into pieces with 3 nodes. Plant them at a 45-degree angle in well-manured soil, leaving one node above the ground."
"duck, farming, rearing","can i raise ducks without a swimming pond","Yes, ducks only need enough deep, clean water to submerge their entire heads to clear their eyes and nostrils. A simple plastic basin is perfectly sufficient."
"watermelon, split, cracking","why are my watermelons splitting open on the vine","Splitting happens when a dry spell is followed by heavy watering or rain. The fruit absorbs water too fast and bursts. Keep watering schedules steady."
"silage, preservation, feed","how to preserve green maize stalks as silage","Chop green maize into small pieces, pack it tightly into a pit silo to squeeze out all air, cover it with heavy plastic sheeting, and weigh it down with dirt."
"frost, cold, protection","how to protect delicate vegetables from cold frost","Cover rows with clear plastic crop tunnels or light burlap fabric overnight to trap ground heat, and uncover them during the day so they can absorb sunlight."
